model,rumusan,benar,dinilai,skor,a_kena,a_total,a_rasio,b_kena,b_total,b_rasio,biaya_usd_total,latensi_median_ms,waktu_amat_awal,waktu_amat_akhir,cap_token_maks,dijalankan_pada
deepseek-v4-flash-0731,open-py1,35,69,0.5072,35,40,0.875,102,127,0.8031,0.0040482329,3644,2026-08-14T07:20:05,2026-08-14T08:12:19,2400,2026-08-15T18:24:07+0700
deepseek-v4-flash-0731,open-py2,50,69,0.7246,29,40,0.725,121,127,0.9528,0.0047494917,4526,2026-08-14T07:03:46,2026-08-14T08:16:20,2400,2026-08-15T18:24:07+0700
deepseek-v4-flash-0731,open-py3,51,69,0.7391,37,40,0.925,114,127,0.8976,0.0048981046,4094,2026-08-14T08:02:10,2026-08-14T08:17:17,2400,2026-08-15T18:24:07+0700
gemma-4-31b,open-py1,32,69,0.4638,35,40,0.875,98,127,0.7717,0.0016275600,1330,2026-08-13T15:02:42,2026-08-13T15:06:42,600,2026-08-15T18:24:07+0700
gemma-4-31b,open-py2,59,69,0.8551,31,40,0.775,126,127,0.9921,0.0015551160,1373,2026-08-13T15:58:37,2026-08-13T16:01:59,600,2026-08-15T18:24:07+0700
gemma-4-31b,open-py3,60,69,0.8696,35,40,0.875,124,127,0.9764,0.0016240100,952,2026-08-13T18:04:56,2026-08-13T18:08:11,600,2026-08-15T18:24:07+0700
gpt-5.6-luna,open-py1,31,69,0.4493,36,40,0.9,99,127,0.7795,0.0021420000,1034,2026-08-14T07:14:02,2026-08-14T07:16:53,600,2026-08-15T18:24:07+0700
gpt-5.6-luna,open-py2,52,69,0.7536,25,40,0.625,120,127,0.9449,0.0042225000,2199,2026-08-14T06:56:41,2026-08-14T07:00:31,600,2026-08-15T18:24:07+0700
gpt-5.6-luna,open-py3,55,69,0.7971,34,40,0.85,97,127,0.7638,0.0040731000,2020,2026-08-14T07:43:27,2026-08-14T07:47:08,600,2026-08-15T18:24:07+0700
hunyuan-a13b,open-py1,17,69,0.2464,29,40,0.725,88,127,0.6929,0.0019430700,1485,2026-08-14T07:16:56,2026-08-14T07:20:00,600,2026-08-15T18:24:07+0700
hunyuan-a13b,open-py2,29,69,0.4203,26,40,0.65,112,127,0.8819,0.0022726500,1493,2026-08-14T07:00:35,2026-08-14T07:03:43,600,2026-08-15T18:24:07+0700
hunyuan-a13b,open-py3,22,69,0.3188,29,40,0.725,102,127,0.8031,0.0021857100,1497,2026-08-14T07:47:10,2026-08-14T07:50:16,600,2026-08-15T18:24:07+0700
ling-3.0-flash,open-py1,39,69,0.5652,32,40,0.8,99,127,0.7795,0.0019648524,1766,2026-08-13T15:23:55,2026-08-13T15:34:40,4000,2026-08-15T18:24:07+0700
ling-3.0-flash,open-py2,43,67,0.6418,22,39,0.5641,119,127,0.937,0.0016091526,1744,2026-08-13T16:02:01,2026-08-13T16:11:11,2400,2026-08-15T18:24:07+0700
ling-3.0-flash,open-py3,41,69,0.5942,33,40,0.825,109,127,0.8583,0.0034141872,1936,2026-08-13T18:08:21,2026-08-13T18:28:56,24000,2026-08-15T18:24:07+0700
llama-3-1-8b-q4km-local,open-py1,26,69,0.3768,29,40,0.725,113,127,0.8898,0.0000000000,528,2026-08-15T16:27:45,2026-08-15T16:29:43,600,2026-08-15T18:24:07+0700
llama-3-1-8b-q4km-local,open-py2,30,69,0.4348,29,40,0.725,119,127,0.937,0.0000000000,505,2026-08-15T16:29:45,2026-08-15T16:31:43,600,2026-08-15T18:24:07+0700
llama-3-1-8b-q4km-local,open-py3,23,69,0.3333,28,40,0.7,79,127,0.622,0.0000000000,534,2026-08-15T16:31:45,2026-08-15T16:33:43,600,2026-08-15T18:24:07+0700
mistral-small-3-2501,open-py1,39,69,0.5652,29,40,0.725,115,127,0.9055,0.0005372400,962,2026-08-13T15:00:13,2026-08-13T15:02:38,600,2026-08-15T18:24:07+0700
mistral-small-3-2501,open-py2,38,69,0.5507,24,40,0.6,123,127,0.9685,0.0006374500,650,2026-08-13T15:56:29,2026-08-13T15:58:28,600,2026-08-15T18:24:07+0700
mistral-small-3-2501,open-py3,38,69,0.5507,29,40,0.725,116,127,0.9134,0.0005963700,671,2026-08-13T18:02:47,2026-08-13T18:04:54,600,2026-08-15T18:24:07+0700
qwen3-30b-a3b-2507,open-py1,40,69,0.5797,31,40,0.775,115,127,0.9055,0.0009517622,2043,2026-08-13T15:28:16,2026-08-13T15:31:49,600,2026-08-15T18:24:07+0700
qwen3-30b-a3b-2507,open-py2,43,69,0.6232,23,40,0.575,120,127,0.9449,0.0011570861,1656,2026-08-13T16:06:05,2026-08-13T16:09:12,600,2026-08-15T18:24:07+0700
qwen3-30b-a3b-2507,open-py3,46,69,0.6667,32,40,0.8,117,127,0.9213,0.0012745558,1636,2026-08-13T18:11:48,2026-08-13T18:15:21,600,2026-08-15T18:24:07+0700
sahabatai-1-llama3-q4km-local,open-py1,22,69,0.3188,32,40,0.8,75,127,0.5906,0.0000000000,390,2026-08-14T23:20:58,2026-08-14T23:22:46,600,2026-08-15T18:24:07+0700
sahabatai-1-llama3-q4km-local,open-py2,40,69,0.5797,34,40,0.85,106,127,0.8346,0.0000000000,415,2026-08-14T23:22:48,2026-08-14T23:24:38,600,2026-08-15T18:24:07+0700
sahabatai-1-llama3-q4km-local,open-py3,29,69,0.4203,35,40,0.875,91,127,0.7165,0.0000000000,418,2026-08-14T23:24:40,2026-08-14T23:26:29,600,2026-08-15T18:24:07+0700
sea-lion-v4-5-e2b-q4km-local,open-py1,35,69,0.5072,34,40,0.85,107,127,0.8425,0.0000000000,890,2026-08-15T16:42:18,2026-08-15T16:44:41,600,2026-08-15T18:24:07+0700
sea-lion-v4-5-e2b-q4km-local,open-py2,51,69,0.7391,33,40,0.825,125,127,0.9843,0.0000000000,863,2026-08-15T16:44:43,2026-08-15T16:47:06,600,2026-08-15T18:24:07+0700
sea-lion-v4-5-e2b-q4km-local,open-py3,50,69,0.7246,35,40,0.875,123,127,0.9685,0.0000000000,930,2026-08-15T16:47:08,2026-08-15T16:49:32,600,2026-08-15T18:24:07+0700
solar-pro4,open-py1,28,69,0.4058,33,40,0.825,104,127,0.8189,0.0004773900,2684,2026-08-14T09:39:38,2026-08-14T09:59:08,600,2026-08-15T18:24:07+0700
solar-pro4,open-py2,41,69,0.5942,24,40,0.6,125,127,0.9843,0.0005369400,5339,2026-08-14T09:59:49,2026-08-14T10:20:51,600,2026-08-15T18:24:07+0700
solar-pro4,open-py3,43,69,0.6232,26,40,0.65,123,127,0.9685,0.0005175600,2275,2026-08-14T10:21:09,2026-08-14T10:38:05,600,2026-08-15T18:24:07+0700
